management,subscriber_id,md_id,date,gas_consumption,source,month,year,season,heating_season,month_name
г.Амвросиевка,101000001314,1740032,2020-01-01,37007,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000009211,1759858,2020-01-01,17750,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000009820,1761744,2020-01-01,31678,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000007687,1755766,2020-01-01,41428,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000007686,1755762,2020-01-01,89218,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000010623,1736110,2020-01-01,8488,явка в УГГ,1,2020,winter,1,January
г.Амвросиевка,101000001313,1740028,2020-01-01,40689,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000001312,1740024,2020-01-01,29220,явка в УГГ,1,2020,winter,1,January
г.Амвросиевка,101000011557,1738058,2020-01-01,41415,по телефону,1,2020,winter,1,January
г.Амвросиевка,101000006014,1753052,2020-01-01,645,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000003905,1748670,2020-01-01,25130,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000003904,2789749,2020-01-01,11912,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000002009,1742242,2020-01-01,42353,по телефону,1,2020,winter,1,January
г.Амвросиевка,101000012413,1739478,2020-01-01,28210,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000011487,1737878,2020-01-01,2554,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000012414,1739480,2020-01-01,29500,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000010893,2796230,2020-01-01,1475,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000004386,1750314,2020-01-01,39167,явка в УГГ,1,2020,winter,1,January
г.Амвросиевка,101000010364,1735652,2020-01-01,44013,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000009220,1759888,2020-01-01,63370,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000005488,2713089,2020-01-01,1032,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000003215,1746306,2020-01-01,18800,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000003907,1748678,2020-01-01,38550,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000000672,1753792,2020-01-01,18378,по квитанции,1,2020,winter,1,January
г.Амвросиевка,101000011726,1738484,2020-01-01,14917,по телефону,1,2020,winter,1,January
г.Амвросиевка,101000003909,1748682,2020-01-01,46703,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000000553,1752684,2020-01-01,9250,по телефону,1,2020,winter,1,January
г.Амвросиевка,101000001319,1740052,2020-01-01,18243,по данным абонента,1,2020,winter,1,January
г.Амвросиевка,101000004382,1750304,2020-01-01,35670,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000002737,1744670,2020-01-01,24260,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000005489,2713091,2020-01-01,2144,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000006010,2787248,2020-01-01,1976,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000010797,2443256,2020-01-01,8350,по квитанции,1,2020,winter,1,January
г.Амвросиевка,101000009209,1759850,2020-01-01,23645,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000004384,1750310,2020-01-01,22342,явка в УГГ,1,2020,winter,1,January
г.Амвросиевка,101000003908,1748680,2020-01-01,5048,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000003398,1746914,2020-01-01,32550,по телефону,1,2020,winter,1,January
г.Амвросиевка,101000011775,2671631,2020-01-01,6440,по квитанции,1,2020,winter,1,January
г.Амвросиевка,101000009210,1759856,2020-01-01,48360,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000000075,1755116,2020-01-01,28698,явка в УГГ,1,2020,winter,1,January
г.Амвросиевка,101000003136,1746050,2020-01-01,50900,явка в УГГ,1,2020,winter,1,January
г.Амвросиевка,101000002006,3166315,2020-01-01,6417,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000010796,2719683,2020-01-01,3455,плановый объем,1,2020,winter,1,January
г.Амвросиевка,101000006013,2765005,2020-01-01,2825,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000000183,3445765,2020-01-01,6250,контрольное снятие,1,2020,winter,1,January
г.Амвросиевка,101000008622,1758338,2020-01-01,29350,по квитанции,1,2020,winter,1,January
г.Амвросиевка,101000000550,1752668,2020-01-01,53100,по квитанции,1,2020,winter,1,January
